,X,cluster,y
bill_files\filtered\2004\HB0081,0.5233865334738232,0,1.3072675187863683
bill_files\filtered\2006\HB0195,0.509379959725751,0,1.3306111624539312
bill_files\filtered\2016\HB0381,0.6576417206205658,0,1.2977134688830316
bill_files\filtered\2016\HB0404,0.3826956505605969,0,1.2872097990893938
bill_files\filtered\2016\HB0405,0.505070753758616,0,1.337098678396079
bill_files\filtered\2004\HB0121,0.5477450745174166,0,1.362210583080596
bill_files\filtered\2012\HB0052,0.7397570724127777,0,1.3195228185949648
bill_files\filtered\2012\HB0038,0.44875977178113413,0,1.3193272872338382
bill_files\filtered\2004\HB0085,0.5951288797569878,0,1.3104626070434038
bill_files\filtered\2006\HB0090,0.6419738455076551,0,1.3113891392893329
bill_files\filtered\1998\HB0085,0.6993855345174169,0,1.3171161858770344
bill_files\filtered\2004\HB0179,0.5951288797569878,0,1.3104626070434038
bill_files\filtered\2004\HB0180,0.7343158330250369,0,1.3903249935233044
bill_files\filtered\2006\HB0306,0.8260188613263034,0,1.1933411157737672
bill_files\filtered\2006\HB0247,0.44316532025541494,0,1.3655328196171135
bill_files\filtered\2004\HB0235,0.5951288797569878,0,1.3104626070434038
bill_files\filtered\2004\HB0237,0.5951288797569878,0,1.3104626070434038
bill_files\filtered\2011\HB0385,0.6606405514214287,0,1.210542506149222
bill_files\filtered\2004\HB0068,0.4123466408734529,0,1.338564351818245
bill_files\filtered\2017\HB0376,0.5929385699799711,0,1.30570288498731
bill_files\filtered\2016\HB0252,0.4839646546850934,0,1.31963895220665
bill_files\filtered\2015\HB0353,0.36787909059030055,0,1.3175762633104076
bill_files\filtered\2015\HB0348,0.7798802005674148,0,1.181703494605
bill_files\filtered\1998\HB0306,0.5277298354006092,0,1.3524696147256465
bill_files\filtered\1998\HB0249,0.6004010158141162,0,1.3151249100215454
bill_files\filtered\2015\HB0184,0.5639271266250683,0,1.2705616856292286
bill_files\filtered\1998\HB0232,0.47685202603603954,0,1.3482369022607699
bill_files\filtered\1998\HB0378,0.32825109029685323,0,1.3059841408782997
bill_files\filtered\1998\HB0215,0.6008005162072687,0,1.3090663285393018
bill_files\filtered\2006\HB0161,0.32734159585404204,0,1.29769841736583
bill_files\filtered\2017\HB0446,0.6073138978384964,0,1.26746039555754
bill_files\filtered\2004\HB0300,0.5105605948177118,0,1.279664235391882
bill_files\filtered\2015\HB0011,0.8001576076755744,0,1.3845958197111154
bill_files\filtered\2016\HB0192,1.255742374889446,1,0.2050334922300844
bill_files\filtered\2016\HB0308,1.2185552404138411,1,0.8299893414571521
bill_files\filtered\2017\HB0066,1.2560189189612596,1,0.27566937396031643
bill_files\filtered\2016\HB0238,1.2592522759018618,1,0.22995503748995477
bill_files\filtered\2016\HB0240,1.2601105813428968,1,0.2541623856522515
bill_files\filtered\2004\HB0155,1.312324336065044,2,1.2696986380827922
bill_files\filtered\1998\HB0189,1.220168105201364,2,1.2608874601451499
bill_files\filtered\2015\HB0149,1.2440520001189177,2,1.2017614027096342
bill_files\filtered\1998\HB0134,1.2506091284332694,2,1.3114255897597642
bill_files\filtered\2004\HB0154,1.307669602893725,2,1.2522058265214366
bill_files\filtered\2004\HB0333,1.3118003663208158,2,1.2650719357888494
bill_files\filtered\2004\HB0359,1.3110712821412844,2,1.2902890179919988
bill_files\filtered\2006\HB0145,1.2585021659372606,2,1.329888930686732
bill_files\filtered\2015\HJR023,1.260956391779548,3,1.3541688376074026
bill_files\filtered\2015\HB0102,1.1660437978708293,3,1.2579674527016844
bill_files\filtered\2006\HB0207,1.2095370480217529,3,1.2603300328549434
bill_files\filtered\1998\HB0254,1.2061035052446403,3,1.2529534722604962
bill_files\filtered\2016\HB0161,1.275720226774464,4,1.30982478169289
bill_files\filtered\2012\HB0273,1.2562085984098528,4,1.316615915944272
bill_files\filtered\2013\HB0347,1.2216750416256308,4,1.3019218720890744
bill_files\filtered\2004\HB0119,1.2632391230233246,4,1.338756508392366
bill_files\filtered\1998\HB0095,1.226399286025486,4,1.294325408232137
bill_files\filtered\2013\HB0130,1.2378632388097,4,1.2797599283601235
bill_files\filtered\2006\HB0319,1.2737774971924134,4,1.2965763515168556
bill_files\filtered\2006\HB0330,1.26936737460383,4,1.2516002227999656
bill_files\filtered\2017\HB0407,1.2542593035421936,4,1.305599800153723
bill_files\filtered\2013\HB0164,1.2334416315892487,4,1.291525041521176
bill_files\filtered\2004\HB0116,1.2306358546001859,4,1.2941827423738534
bill_files\filtered\2012\HB0208,1.2685847397775423,4,1.2830079543462705
bill_files\filtered\2016\HB0276,1.2466660493485715,4,1.304546352521777
bill_files\filtered\2013\HB0236,1.2348405879251025,4,1.287884667616805
bill_files\filtered\2017\HB0030,1.2278182639382311,4,1.2962835866231703
bill_files\filtered\2015\HB0351,1.2456379646353244,4,1.297942199320861
bill_files\filtered\2012\HB0086,1.247589384019783,4,1.3031662941807434
bill_files\filtered\1998\HB0285,1.244156512998492,4,1.2917047672337876
bill_files\filtered\2017\HB0301,1.2561167693782622,4,1.3025018745015637
bill_files\filtered\2015\HB0303,1.259218977607607,4,1.2884188497026958
bill_files\filtered\1998\HB0269,1.2578240315041076,4,1.3582592372373183
bill_files\filtered\2017\HB0232,1.2325379430251848,4,1.3010943730344746
bill_files\filtered\1998\HB0288,1.2276072800721598,4,1.3125556708305814
bill_files\filtered\2015\HB0408,1.2344300322564958,4,1.3107195515882
bill_files\filtered\2016\HB0301,1.2398990959453722,5,1.3025615209398158
bill_files\filtered\1998\HB0126,1.2556808626810536,5,1.1755008337613448
bill_files\filtered\2017\HB0002,1.2614637172744487,5,1.2973881287856288
bill_files\filtered\2012\HB0149,1.2675097836888534,5,1.3442841858898904
bill_files\filtered\2013\HB0002,1.2591266162241126,5,1.3365824101257933
bill_files\filtered\2006\HB0176,1.2459610997681343,5,1.3285203732017414
bill_files\filtered\2016\HB0200,1.2701250640276829,5,1.3213517821963883
bill_files\filtered\2013\HB0298,1.2583886919268648,5,1.263391352199076
bill_files\filtered\1998\HB0182,1.2435559427471008,5,1.3390072268977131
bill_files\filtered\1998\HB0184,1.2690567650490208,5,1.3318529722675594
bill_files\filtered\2013\HB0318,1.2596103556300968,5,1.3506665330149166
bill_files\filtered\2013\HB0363,1.265157504723788,5,1.3197760159522796
bill_files\filtered\2016\HB0147,1.1941839795716773,5,1.2466436010874231
bill_files\filtered\2015\HB0002,1.266592761826754,5,1.3335187990116966
bill_files\filtered\2016\HB0090,1.2322950629384644,5,1.2442314308311644
bill_files\filtered\2015\HB0049,1.2588812318348175,5,1.247848622464285
bill_files\filtered\2015\HB0069,1.2548352983629445,5,1.310221778798551
bill_files\filtered\2016\HB0040,1.2504628698275015,5,1.3141635629362394
bill_files\filtered\2015\HB0124,1.1364140954649202,5,1.2315418945897985
bill_files\filtered\2015\HB0403,1.2682815197412955,5,1.3370243910696105
