,Representatives,HB0950,HB0020,HB0024,HB0031,HB0033,HB0034,HB0038,HB0012,HB0018,HJR010
0,"Dunnigan, J.",0,1,1,1,1,1,1,1,1,1
1,"Eliason, S.",0,1,1,1,1,1,1,1,1,1
2,"Fawson, J.",1,1,1,1,1,1,1,1,1,1
3,"Gardiner, A.",0,1,1,1,1,1,1,1,1,1
4,"Kennedy, M.",1,1,1,1,1,1,1,1,1,1
5,"Lisonbee, K.",1,1,1,1,1,1,1,1,1,1
6,"Moss, J.",1,1,0,1,1,1,1,1,1,1
7,"Potter, V.",1,1,1,1,1,1,1,1,1,1
8,"Pulsipher, S.",1,1,1,1,1,1,1,1,1,1
9,"Redd, E.",1,0,1,1,1,1,1,1,1,1
10,"Ward, R.",1,1,1,1,1,1,1,1,1,1
11,"Westwood, J.",1,1,1,1,1,1,1,1,1,1
12,"Wilde, L.",1,1,1,1,1,1,1,1,1,1
13,"Albrecht, C.",2,1,1,1,1,1,1,1,1,1
14,"Arent, P.",2,0,0,2,2,2,2,1,1,1
15,"Barlow, S.",2,1,1,1,1,1,1,1,1,1
16,"Briscoe, J.",2,0,0,1,1,1,1,1,1,1
17,"Brooks, W.",2,1,1,1,1,1,1,1,1,1
18,"Chavez-Houck, R.",2,0,1,1,1,1,1,1,1,1
19,"Chew, S.",2,1,1,1,1,1,1,1,1,1
20,"Christensen, L.",2,1,1,1,1,1,1,1,1,1
21,"Christofferson, K.",2,1,1,1,1,1,1,1,1,1
22,"Coleman, K.",2,1,0,1,1,1,1,1,1,1
23,"Cutler, B. R.",2,1,1,1,1,1,1,1,1,1
24,"Daw, B.",2,1,0,1,1,1,1,1,1,1
25,"Duckworth, S.",2,1,1,1,1,2,1,1,1,1
26,"Edwards, R.",2,1,1,1,1,1,1,1,1,1
27,"Froerer, G.",2,1,1,1,1,1,1,1,1,1
28,"Gibson, F.",2,1,1,1,1,1,1,1,1,1
29,"Greene, B.",1,1,1,2,1,1,1,1,1,1
30,"Grover, K.",2,1,1,2,2,2,2,1,1,2
31,"Hall, C.",2,1,1,1,1,1,1,1,1,1
32,"Handy, S.",2,1,1,1,1,1,1,1,1,1
33,"Hawkes, T.",2,1,1,2,1,1,1,1,1,1
34,"Hemingway, L.",2,1,1,1,1,1,1,1,1,2
35,"Hollins, S.",2,0,1,2,2,2,2,1,1,1
36,"Hughes, G.",2,1,1,1,1,1,1,1,1,1
37,"Hutchings, E.",2,1,1,1,1,1,1,1,1,1
38,"Ivory, K.",2,0,1,1,1,1,1,1,1,1
39,"King, Brian S.",2,1,1,1,1,1,1,1,1,1
40,"Knotwell, J.",2,1,1,1,1,1,1,1,1,1
41,"Kwan, K.",2,1,1,2,2,2,2,1,1,1
42,"Last, B.",2,1,1,1,1,1,2,1,1,1
43,"Maloy, A.C.",2,1,1,1,1,1,1,1,1,1
44,"McCay, D.",2,1,1,1,1,1,1,1,1,1
45,"McKell, M.",2,1,1,1,1,1,1,1,1,1
46,"Miles, K.",2,1,0,1,1,1,1,1,1,1
47,"Moss, C.",2,1,1,1,1,1,2,1,1,1
48,"Nelson, M.",2,1,1,1,1,1,1,1,1,1
49,"Noel, M.",2,1,0,1,1,1,1,1,1,1
50,"Owens, D.",2,1,1,1,1,1,1,1,1,1
51,"Perry, L.",2,1,1,1,1,1,1,1,1,1
52,"Peterson, J.",2,1,1,1,1,1,1,1,1,1
53,"Peterson, V.",2,1,1,1,1,1,1,1,1,1
54,"Pitcher, D.",2,1,1,1,1,1,1,1,1,1
55,"Poulson, M.",2,1,1,2,2,2,2,1,1,1
56,"Quinn, T.",1,1,1,1,1,1,1,1,1,1
57,"Ray, P.",2,1,1,1,1,1,1,1,1,1
58,"Roberts, M.",2,1,0,2,1,1,1,1,1,1
59,"Romero, A.",2,1,1,2,2,2,2,1,1,1
60,"Sagers, D.",2,1,1,2,2,2,2,2,2,1
61,"Sandall, S.",2,1,0,2,2,2,2,1,1,1
62,"Sanpei, D.",2,1,1,2,2,2,2,1,1,1
63,"Schultz, M.",2,1,0,2,2,1,2,1,1,1
64,"Snow, V. L.",2,1,1,1,1,1,1,1,1,1
65,"Spendlove, R.",2,1,1,1,1,1,1,1,1,1
66,"Stanard, J.",2,1,1,1,1,1,1,1,1,1
67,"Stratton, K.",2,1,1,1,1,1,1,1,1,1
68,"Thurston, N.",2,1,0,1,1,1,1,1,1,1
69,"Watkins, C.",2,1,0,1,1,1,1,1,1,1
70,"Webb, R. C.",2,1,1,1,1,1,1,1,1,1
71,"Weight, E.",2,1,1,1,2,2,2,1,1,1
72,"Wheatley, M.",2,1,1,1,1,1,1,1,1,1
73,"Wilson, B.",2,1,1,1,1,1,1,1,2,1
74,"Winder, M.",2,1,1,1,1,1,1,1,1,1
