,Representatives,SB9001,SB9006,SB0011,SB0012,SB0015,SB0016,SB0017,SB0018,SB0019,SB0020,SB0021,HB0165,HJR011,SB0022,SB0024,SB0025,SB0026,SB0010,SB0027,SB0072,SB0074,SB0047,SB0066,SB0076,SB0061,SB0063,SB0013,HB0019,HB0023,HB0030,HB0018,HB0031,HB0021,SB0075,SB0065,HJR001,HB0028,SB0113,SB0086,SB0088,SB0096,SB0110,HB0101,SB0108,SB0123,SB0033,SB0038,SB0060,SB0005,SB0006,SB0007,SB0001,SB0046,SB0052,HB0004,HB0005,HB0001,HB0006,HB0007,SB0081,SB0035,SB0040,SB0056,SB0089,SB0067,SB0059,SB0051,SB0055,SB0058,SB0079,SB0095,SB0140,HB0013,HB0078,HB0106,HB0020,HB0125,HB0017,HB0029,HB0099,HB0012,HB0075,SB0143,SB0073,SB0041,SB0128,HB0056,SB0144,HB0033,HB0070,HB0041,HJR004,HB0081,HB0098,HJR006,HB0069,SB0136,SB0141,SB0031,SB0068,SB0070,SB0014,SB0062,SB0064,SB0071,SB0032,SB0093,SB0097,SB0111,SB0029,SB0078,SB0103,SB0023,SB0077,SB0109,SB0115,SB0102,SB0120,SB0104,SB0112,SB0092,SB0118,SB0168,HB0052,HB0057,HB0155,SB0149,HB0027,HB0154,HB0059,HB0088,HB0103,HB0116,HB0039,HB0087,HB0129,HB0055,HB0026,HB0038,HB0044,HB0159,SB0146,SB0156,HB0111,HB0045,HB0135,HB0160,HB0121,HB0139,HB0152,HB0074,HB0132,HB0097,HB0022,HB0170,HB0080,HB0053,HB0145,HB0128,HB0146,HB0185,HB0193,SB0098,SB0121,SB0107,HB0032,SB0159,HJR010,HB0133,SB0166,SB0172,SB0188,HB0158,HB0147,SB0181,SB0184,SB0114,SB0117,SB0053,SB0119,SB0039,SB0105,SB0127,SB0187,SB0131,SB0106,SB0135,SB0087,SB0094,SB0049,SB0205,SB0206,HB0123,HB0163,HB0157,SB0191,SB0200,HB0122,SB0043,SB0090,SB0173,SB0080,SB0132,SB0170,SB0147,SB0164,SB0155,SB0154,SB0163,HB0149,HB0184,HB0015,HB0166,HB0194,HB0218,HB0083,SB0133,HJR008,HB0073,HB0192,HB0191,SB0167,HB0168,HB0238,HB0094,HB0199,HB0117,HB0172,SB0124,SB0201,HB0227,SB0203,HB0187,HJR012,HB0084,SB0225,HB0188,HB0195,SB0054,SB0196,SB0153,HB0140,HJR002,SB0160,SB0085,HB0201,SB0213,SB0042,SB0169,SB0165,SB0182,SB0137,SB0101,HB0107,SB0174,SB0037,HB0051,SB0134,SB0150,SB0179,SB0116,SB0069,SB0180,SB0157,SB0190,SB0158,SB0202,SB0229,HB0174,HB0205,HB0280,SB0241,SB0189,SB0183,SB0122,SB0138,SB0177,SB0082,SB0171,SB0238,HB0179,HB0310,SB0249,SB0139,SB0175,SB0176,SB0192,SB0193,SB0186,SB0218,SB0220,SB0145,SB0215,SB0216,SB0223,SB0198,SB0048,SB0227,SB0204,SB0219,SB0214,SB0226,SB0195,SB0207,SB0228,SB0212,SB0259,HB0120,HB0217,HB0220,HB0072,HB0234,HB0248,SB0255,SB0239,HB0219,HB0024,HB0014,HB0091,HB0110,SB0272,HB0299,SB0270,SB0257,SB0271,HB0206,HB0141,HB0232,HB0042,HB0065,HB0246,HB0175,HB0209,HB0127,HB0151,HB0258,HB0314,HJR013,HB0302,HB0207,HB0076,HB0290,HB0025,HB0198,HB0112,HB0034,HB0148,HB0173,HB0237,HB0272,HB0011,HB0131,HB0046,HB0035,SB0236,SB0231,SB0237,SB0217,SB0247,SB0242,HB0252,HB0102,HB0254,HB0136,HB0259,HB0317,HB0275,HB0215,HB0036,HB0177,SB0282,HB0211,HB0256,HJR007,SB0296,HB0273,HJR023,HB0269,HB0332,SB0008,SB0221,SB0240,SB0246,SB0248,SB0208,SB0230,SB0232,SB0233,SB0199,SB0194,SB0244,SB0287,SB0278,SB0009,SB0002,SB0222,SB0250,SB0269,SB0253,SB0004,SB0263,SB0268,SB0275,SB0274,SB0276,SB0258,SB0280,SB0281,SB0264,SB0279,SB0283,SB0292,SB0234,SB0235,SB0285,SB0245,SB0260,SB0252,SB0256,SB0289,SB0267,SB0294,SB0297,SB0290,SB0293,SB0265,HB0346,HB0245,HB0321,HB0208,HB0233,HB0276,HB0393,HB0289,HB0304,HB0373,HJR021,HB0002,HB0003,HB0008,HB0085,HB0214,HB0226,HB0079,HB0229,HB0212,HB0243,HB0118,HB0058,HB0063,HB0105,HB0282,HB0284,HB0319,HB0242,HB0251,SB0300,HB0037,HB0119,HB0204,HB0326,HB0333,HJR020,HB0228,HB0124,HB0203,HB0197,HB0049,HB0239,HB0338,HB0347,HB0378,HB0277,HB0345,HB0396,HB0395,HB0213,HB0115,HB0291,HB0414,HB0190,HB0360,HB0186,HB0403,HB0068,HB0379,HB0364,HB0356,HB0334,HB0380,HB0447,HB0352,HB0249,HB0311,HB0283,HB0401,HB0298,HB0353,SB0243,HB0406,HB0189,HB0368,HB0337,HB0343,HB0444,HB0348,HB0323,HB0443,HB0384,HB0382,HB0296,HB0402,HB0340,HB0104,HB0363,HB0312,HB0409,HB0362,HB0410,HB0261,HB0341,HB0216,HB0292,HB0411,HB0288,HB0454,HB0415,SB0003,HB0361,HB0300,HB0043,HB0303,HB0349,HB0355,HB0365,HJR026,HB0351,HB0324,HB0390,HB0408,HB0420,HB0385,HB0048,HB0400,HB0279,HB0285
0,"Adams, J. S.",1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,0,2,2,2,2,2,1,1,2,2,1,2,2,0,2,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
1,"Christensen, A.",1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,0,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"Davis, G.",0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,2,0,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0
3,"Escamilla, L.",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,2,2,2,2,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,0,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
4,"Henderson, D.",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,0,1,0,1,1,1,1,1,1,1,1,0,0,2,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,2,2,1,1,0
5,"Hillyard, L.",0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,1,0,1,2,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,0,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,2,1,2,1,1,1,0,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,2,2,2,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
6,"Hinkins, D.",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2,0,1,1,0,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
7,"Jackson, A.",0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1,2,2,2,1,0,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,2,2,2,1,1,1,1,1,1,1,0,1,1,1
8,"Knudson, P.",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
9,"Madsen, M.",1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,1,0,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,0,1,0,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,0,1,1,0,0,2,1,1,2,0,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,0,1,2,1,1,1,0,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,0,1,1,0,2,2,2,1,0,2,2,1,1,2,1,2,2,0,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,0,1,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,1,1,1,0,1,2,1,0,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,2,0,1,1,1,1,0,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,2,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,0,1,1,1,1,1,0,1,0,1,2,2,2,2,1,1,1,1,1,1,2,1,2,2,1,0,1,2,1,0,2,0,0,2,0
